游戏名称,价格,好评率,好评人数,平均游玩时长,标签,所属主类
The Vending Machine,¥ 18.00,2 篇用户评测,2,0.8h,"心理恐怖, 步行模拟, 模拟, 恐怖, 探索, 动作, 潜行, 生存恐怖, 3D, 第一人称, 超现实, 独立, 氛围, 单人",动作类; 冒险类; 模拟类
Squarely,¥ 26.00,,,,"休闲, 解谜, 单人, 极简主义, 推箱子, 放松, 彩色, 阖家, 逻辑, 可爱, 独立, 棋盘游戏, 2D, 网格导向动作",解谜类; 休闲类
WTF AM I PLAYING?!,¥ 16.83,93%,48,1.4h,"第一人称射击, 物理, 街机, 复古射击, 欢乐, 3D, 动作, 像素图形, 复古, 战斗, 射击, 网络梗, 黑色幽默, 喜剧, 迷幻, 第一人称, 卡通风格, 动作冒险, 风格化, 单人",动作类; 射击类; 冒险类
FRUKT,¥ 0.00,,,,"血腥, 沙盒, 暴力, 物理, 模拟, 鲜血, 独立, 体素, 上帝模拟, 休闲, 单人, 像素图形, 3D, 子弹时间, 第一人称",模拟类; 休闲类
蜉蝣之国的囚徒,¥ 27.00,76%,442,7.3h,"冒险, 视觉小说, 角色扮演, 剧情丰富, 悬疑, 恐怖, 历史, 惊悚, 剧情, 血腥, 独立, 心理恐怖, 单人, 动漫, 2D, 解谜, 探索, 调查, 暴力",冒险类; 角色扮演类; 解谜类
Fix & Flick,¥ 0.00,,,,"沉浸式模拟, 隐藏物体, 经济, 商店管理, 制作, 第一人称, 超现实, 模拟, 阴谋, 悬疑, 惊悚, 剧情丰富, 多结局, 反乌托邦, 3D, 复古, 氛围, 生活模拟, 单人, 工作模拟",模拟类; 解谜类
Glisynth,¥ 0.00,,,,"节奏, 街机, 2D, 可爱, 休闲, 动漫, 奇幻, 魔法, 阖家, 单人, 免费开玩, 独立",动作类; 休闲类
ParaLegends,¥ 0.00,,,,"策略, 英雄射击, 动作, 第三人称射击, 团队导向, 多人, 射击, 3D, 风格化, 大型多人在线, 独立, 奇幻, 科幻, 玩家对战, 本地多人",动作类; 射击类; 策略类
爆砕機行ガンゾォーグ,¥ 26.00,,,,"动作, 平台游戏, 2D 平台, 像素图形, 复古, 单人, 休闲",动作类; 休闲类
Jungle Jinx,¥ 0.00,,,,"休闲, 冒险, 动作, 街机, 3D, 沙盒, 平台游戏, 动作冒险, 3D 平台, 自选历险体验, 可爱, 探索, 隐藏物体, 奔跑, 动作类 Rogue, 第三人称, 彩色, 氛围, 竞速, 阖家",动作类; 冒险类; 竞速类; 解谜类; 休闲类
Eldritch Archives,免费开玩,90%,21,2.7h,"免费开玩, 恐怖, 独立, 冒险, 多结局, 洛夫克拉夫特式, 氛围, 调查, 像素图形, 黑暗, 灵异, 惊悚, 第一人称, 单人, 3D",冒险类
未获取到,未获取到价格,,,0.0h,,
Katana,免费开玩,64%,48,73.5h,"冒险, 休闲, 模拟, 动作冒险, 指向点击, 生物收集, 点击游戏, 挂机游戏, 2D, 动漫, 放松, 免费开玩, 策略, 赌博, 竞分, 库存管理, 单人, 忍者",冒险类; 模拟类; 策略类; 解谜类; 休闲类
We who rise,¥ 0.00,,,,"休闲, 单人, 2D 平台, 横向滚屏, 街机, 控制器, 快节奏, 困难, 复古, 像素图形, 独立, 程序生成, 中世纪, 平台游戏, 2D, 精确平台, 多人",动作类; 休闲类
雷亚的花园世界大冒险,¥ 22.00,91%,56,1.1h,"休闲, 破坏, 模拟, 可爱, 女性主角, 龙, 上帝模拟, 沙盒, 2D, 探索, 俯视, 独立, 像素图形, 动漫, 中世纪, 喜剧, 黑色幽默, 单人",冒险类; 模拟类; 休闲类
Island Market Simulator: Prologue,免费开玩,87%,93,2.3h,"管理, 经济, 贸易, 沉浸式模拟, 生活模拟, 农场模拟, 建造, 休闲, 独立, 资源管理, 角色扮演, 3D, 策略角色扮演, 沙盒, 库存管理, 自选历险体验, 第一人称, 制作, 风格化, 氛围",角色扮演类; 模拟类; 休闲类
XD CLICKER,¥ 6.00,2 篇用户评测,2,4.7h,"点击游戏, 挂机游戏, 策略, 2D, 单人, 讽刺, 阴谋, 喜剧, 街机, 线性",动作类; 策略类; 休闲类
Sokker,¥ 13.50,92%,25,2.1h,"体育, 动作, 街机, 电竞, 双摇杆射击, 3D, 卡通, 彩色, 可爱, 极简主义, 篮球, 足球, 冰球, 老式, 网球, 本地多人, 职业导向, 玩家对战, 多人, 团队导向",动作类; 体育类
Tiny Fisherman,¥ 0.00,,,,"时间管理, 沉浸式模拟, 教育, 模拟, 钓鱼, 制作, 海军, 生活模拟, 3D, 第一人称, 烹饪, 独立, 彩色, 单人",模拟类
Babel,¥ 0.00,,,,"冒险, 类银河战士恶魔城, 动作, 战斗, 动作冒险, 2D 平台, 魔法, 灵异, 非线性, 神话, 类魂系列, 角色扮演, 探索, 平台解谜, 精确平台, 2D, 控制器, 像素图形, 剑术, 奇幻",动作类; 冒险类; 角色扮演类
Table for None,¥ 0.00,,,,"模拟, 冒险, 角色扮演, 休闲, 管理, 探索, 单人, 制作, 放松, 烹饪, 像素图形, 2D, 收集马拉松, 生活模拟, 彩色, 农场模拟, 库存管理, 钓鱼, 策略, 独立",冒险类; 角色扮演类; 模拟类; 策略类; 休闲类
Serpent Rising,¥ 0.00,,,,"策略, 即时战略, 策略角色扮演, 动作即时战略, 自选历险体验, 战争游戏, 3D, 拟真, 自然, 架空历史, 建造, 黑暗, 破坏, 反乌托邦, 管理, 军事, 后末日, 生存, 战争, 僵尸",角色扮演类; 模拟类; 策略类
Tinker's Ascent,¥ 0.00,,,,"冒险, 3D 平台, 开放世界, 单人, 制作, 建造, 控制器, 平台游戏, 收集马拉松, 休闲, 跑酷, 教程, 3D, 第三人称, 剧情丰富, 独立, 卡通风格, 阖家, 奇幻, 探索",动作类; 冒险类; 模拟类; 休闲类
Slash,免费开玩,72%,11,3.6h,"动作, 休闲, 2D 格斗, 街机, 弹幕射击, 砍杀, 2D, 像素图形, 独立, 奇幻, 免费开玩, 科幻, 单人",动作类; 休闲类
Opus Building,¥ 22.00,,,,"冒险, 动作冒险, 沙盒, 互动小说, 解谜, 探索, 3D, 电影式, 第一人称, 氛围, 恶魔, 黑暗奇幻, 调查, 悬疑, 灵异, 黑暗, 恐怖, 剧情丰富, 女性主角, 选择取向",冒险类; 解谜类
Food Facility,免费开玩,3 篇用户评测,3,5.2h,"策略, 模拟, 免费开玩, 独立, 休闲, 自动化, 管理, 建造, 像素图形",模拟类; 策略类; 休闲类
Reverse T-gotchi,¥ 0.00,,,,"独立, 恐怖, 复古, 心理恐怖, 黑暗, 动作, 风格化, 第一人称, 步行模拟, 像素图形, 探索, 剧情丰富, 心理, 潜行, 悬疑, 科幻, 故事架构丰富, 迷幻, 物理, 烹饪",动作类; 冒险类
The Climb,¥ 0.00,,,,"休闲, 街机, 奔跑, 3D, 90 年代, 玩家对战环境, 单人, 冒险, 免费开玩",动作类; 冒险类; 休闲类
Lens Of Fear,¥ 0.00,,,,"冒险, 动作, 恐怖, 第一人称射击, 动作冒险, 超现实, 拟真, 生存恐怖, 3D 平台, 灵异, 3D, 恶魔, 悬疑, 单人, 探索, 独立, 僵尸, 惊悚, 第一人称, 沉浸式",动作类; 射击类; 冒险类
One and the Same,¥ 0.00,,,,"氛围, 解谜, 惊悚, 复古, 3D, 冒险, 老式, 心理恐怖, 探索, 黑暗, 魔法, 平台解谜, 抽象, 第一人称, 悬疑, 线性, 单人, 血腥",冒险类; 解谜类
Firefly Haven,¥ 15.00,87%,39,4.0h,"点击游戏, 策略, 挂机游戏, 管理, 休闲, 自然, 模拟, 教程, 指向点击, 2D, 可爱, 放松, 独立, 像素图形, 阖家, 复古, 资源管理, 单人",模拟类; 策略类; 解谜类; 休闲类
Night Errand,¥ 0.00,,,,"推理, 调查, 线性, 视觉小说, 2D, 探索, 冒险, 指向点击, 女性主角, 悬疑, 互动小说, 赛博朋克, LGBTQ+, 动漫, 温馨惬意, 对话, 单人, 记叙, 电影式, 手绘",冒险类; 解谜类
未获取到,未获取到价格,,,2.1h,,
Goblin Chief,¥ 0.00,,,,"角色扮演, 玩家对战环境, 玩家对战, 动作, 动作角色扮演, 角色自定义, 3D, 第三人称, 团队导向, 动作类 Rogue, 探索, 卡通风格, 彩色, 风格化, 奇幻, 独立, 魔法, 战术, 战斗, 资源管理",动作类; 射击类; 冒险类; 角色扮演类
Corrosion Protocol,¥ 0.00,,,,"动作类 Rogue, 动作, 类 Rogue, 轻度 Rogue, 2D, 俯视射击, 射击, 俯视, 双摇杆射击, 像素图形, 独立, 外星人, 氛围, 子弹时间, 本地多人",动作类; 射击类
The Unseen Fears: Last Dance Collector's Edition,¥ 76.00,2 篇用户评测,2,,"休闲, 指向点击, 解谜, 隐藏物体, 2D, 奇幻, 悬疑, 教程, 冒险, 单人",冒险类; 解谜类; 休闲类
LiM Grid Wars,¥ 7.49,,,,"休闲, 街机, 2D, 复古, 永久死亡, 教程, 控制器, 单人, 俯视, 80 年代, 线性",动作类; 休闲类
Good Children Say Grace,¥ 0.00,,,,"抢先体验, 互动小说, 剧情丰富, 心理恐怖, 黑暗, 情感, 爱情, 探索, 自选历险体验, 多结局, 冒险, 悬疑, 选择取向, 非线性, 氛围, 步行模拟, 心理, 反乌托邦, 第一人称, 调查",冒险类
Ashes Remember Us,¥ 0.00,,,,"动作, 休闲, 动作类 Rogue, 俯视射击, 2D, 后末日, 清版射击, 建造, 恐怖, 像素图形, 俯视, 枪械改装, 氛围, 血腥, 抢先体验, 独立, 奇幻, 悬疑, 生存, 街机",动作类; 冒险类; 模拟类; 休闲类
Blightrest,¥ 0.00,,,,"开放世界, 冒险, 角色扮演, 动作, 生存, 抢先体验, 独立, 基地建设, 合作, 制作, RPG 制作大师, 动作冒险, 动作角色扮演, 单人, 探索, 多人, 程序生成, 玩家对战环境, 建造, 战斗",动作类; 冒险类; 角色扮演类; 模拟类
THE FORMIO PROGRAM,¥ 0.00,,,,"模拟, 悬疑, 解谜, 非线性, 时空操控, 惊悚, 心理, 拟真, 第一人称, 冒险, 沉浸式模拟, 超现实, 科幻, 黑暗, 动态旁白, 反乌托邦, 单人, 3D, 调查, 未来",冒险类; 模拟类; 解谜类
Fear Box,¥ 0.00,,,,"独立, 恐怖, 心理恐怖, 探索, 生存恐怖, 灵异, 第一人称, 单人, 氛围, 心理, 黑暗, 冒险, 步行模拟, 剧情丰富, 暴力, 沉浸式模拟, 3D 视觉, 动作, 拟真, 惊悚",动作类; 冒险类
The Inescapable Nightmare,¥ 22.00,2 篇用户评测,2,2.5h,"动作, 策略, 解谜, 点击游戏, 2D, 独立, 第一人称, 拟真, 80 年代, 90 年代, 恐怖, 单人, 密室逃脱, 困难",动作类; 冒险类; 策略类; 解谜类; 休闲类
Whispered Secrets: Enfant Terrible Collector's Edition,¥ 76.00,,,,"休闲, 指向点击, 隐藏物体, 2D, 奇幻, 悬疑, 剧情丰富, 教程, 冒险, 单人",冒险类; 解谜类; 休闲类
Avernum 4: Greed and Glory,¥ 33.60,93%,120,27.0h,"角色扮演, 剧情丰富, 策略, 冒险, 团队角色扮演, 复古, 选择取向, 策略角色扮演, 多结局, 电脑角色扮演, 迷宫探索, 战术角色扮演, 2D, 老式, 等角视角, 独立, 制作, 网格导向动作, 非线性, 开放世界",冒险类; 角色扮演类; 策略类
Always Bet on Quack,¥ 0.00,,,,"休闲, 赌博, 多人, 免费开玩, 卡牌游戏, 3D, 卡通风格, 喜剧, 可爱, 沙盒, 开放世界, 模拟",冒险类; 模拟类; 策略类; 休闲类
A Week Before Autumn,¥ 0.00,,,,"休闲, 剧情丰富, 互动小说, 视觉小说, 角色扮演, 基于文字, 自选历险体验, 对话, 2D, 像素图形, LGBTQ+, 彩色, 放松, 横向滚屏, 风格化, 探索, 氛围, 怀旧, 温馨惬意, 独立",冒险类; 角色扮演类; 休闲类
Behind the Masks,¥ 18.70,1 篇用户评测,1,,"策略, 社交推理, 基于文字, 逻辑, 多人, 玩家对战, 策略角色扮演, 2D, 对话, 像素图形, 独立, 奇幻, 悬疑, 战术, 角色自定义, 单人",射击类; 角色扮演类; 策略类
Warp Marked,¥ 0.00,,,,"黑暗, 点击游戏, 街机, 恐怖, 太空模拟, 动作, 探索, 心理恐怖, 清版射击, 模拟, 横向滚屏, 洛夫克拉夫特式, 单人, 氛围, 休闲, 资源管理, 复古, 外星人, 悬疑, 科幻",动作类; 冒险类; 模拟类; 休闲类
Grim Axiom,¥ 0.00,,,,"类魂系列, 恐怖, 黑暗奇幻, 动作冒险, 等角视角, 开放世界, 迷宫探索, 哥特, 黑暗, 动作, 冒险, 奇幻, 僵尸, 探索, 反乌托邦, 暴力, 独立, 血腥, 中世纪, 科幻",动作类; 冒险类
For The Wheat,¥ 29.00,2 篇用户评测,2,0.1h,"动作, 单人, 第一人称, 第一人称射击, 竞技场射击, 射击, 战争, 军事, 恐怖, 生存恐怖, 独立, 3D, 拟真, 历史, 战斗, 控制器",动作类; 射击类; 冒险类
大石头杀人事件,免费开玩,80%,10,4.1h,"休闲, 独立, 欢乐, 横向滚屏, 指向点击, 手绘, 可爱, 卡通, 喜剧, 解谜, 免费开玩, 物理, 放松, 2D, 单人",解谜类; 休闲类
群名兵册 Weapons,¥ 43.56,85%,20,16.8h,"冒险, 角色扮演, 回合战略, 策略角色扮演, 战术角色扮演, 电脑角色扮演, 迷宫探索, 2D, 像素图形, 动漫, 卡通, 卡通风格, 剧情, 复古, 奇幻, 情感, 女性主角, 故事架构丰富, 剧情丰富, 线性",冒险类; 角色扮演类
未获取到,未获取到价格,,,28.3h,,
Grind Hero: MMORPG,免费开玩,59%,238,11.5h,"探索, 角色扮演, 玩家对战环境, 玩家对战, 团队角色扮演, 大型多人在线角色扮演, 动作角色扮演, 角色自定义, 2D, 冒险, 俯视, 像素图形, 大型多人在线, 开放世界, 奇幻, 魔法, 中世纪, 职业导向, 老式, 复古",冒险类; 角色扮演类
W3DGE,¥ 15.00,1 篇用户评测,1,,"困难, 街机, 2D, 动作, 极简主义, 像素图形, 竞分, 复古, 单人, 电子音乐, 独立",动作类
水晶传说,¥ 0.00,,,,"免费开玩, 冒险, 角色扮演, 动作角色扮演, 回合制战术, 大型多人在线, 2D, 可爱, 奇幻, 放松, 玩家对战, 单人, 多人",冒险类; 角色扮演类
Arena II,¥ 17.82,3 篇用户评测,3,0.0h,"角色扮演, 休闲, 动作, 奇幻, 冒险, 中世纪, 玩家对战环境, 不可思议迷宫, 单人, 回合制战斗, 动作角色扮演, 动作冒险, 2D, 指向点击, 策略角色扮演, 隐藏物体, 第一人称, 氛围, 剑术, 自然",动作类; 冒险类; 角色扮演类; 解谜类; 休闲类
Algatraz,¥ 0.00,,,,"模拟, 休闲, 美国, 动作冒险, 探索, 沉浸式模拟, 3D, 卡通风格, 第三人称, 黑暗奇幻, 恐龙, 狩猎, 自然, 生存, 免费开玩, 独立, 水底, 战斗, 物理, 潜行",动作类; 冒险类; 模拟类; 休闲类
救済の日,¥ 0.00,,,,"恐怖, 心理恐怖, 黑色幽默, 剧情丰富, 太空, 3D, 外星人, 冒险, 探索, 生存恐怖, 黑暗, 街机, 潜行, 惊悚, 剧情, 悬疑, 氛围, 单人",动作类; 冒险类
Disco Duck,¥ 6.00,1 篇用户评测,1,2.1h,"动作类 Rogue, 动作, 奔跑, 2D, 俯视, 黑色幽默, 程序生成, 卡通风格, 像素图形, 科幻, 潜行, 外星人, 生存恐怖, 单人",动作类
搖曳露營△ 大家一起嗨翻天！露營大作戰！,¥ 108.00,78%,19,1.2h,"动作, 休闲, 可爱, 放松, 阖家, 欢乐, 玩家对战, 单人, 多人, 在线合作, 合作, 动漫",动作类; 休闲类
Proxy Project Ouroboros,¥ 21.71,1 篇用户评测,1,,"休闲, 竞分, 本地合作, 快节奏, 分屏, 角色自定义, 动作类 Rogue, 玩家对战环境, 街机, 重玩价值, 竞技, 阖家, 动作, 3D, 第三人称, 机器人, 未来, 独立, 科幻, 控制器",动作类; 休闲类
Will of Destiny,¥ 0.00,,,,"牌组构建, 类 Rogue, 卡牌游戏, 卡牌战斗, 休闲, 手绘, 喜剧, 氛围, 彩色, 可爱, 2D, 独立, 抢先体验, 卡通, 单人",策略类; 休闲类
Matchuie,¥ 15.00,无用户评测,,0.8h,"休闲, 三消, 解谜, 放松, 彩色, 控制器, 氛围, 单人, 独立",解谜类; 休闲类
NonetBeat,¥ 0.00,,,,"第三人称射击, 动作, 砍杀, 玩家对战环境, 射击, 女性主角, 可爱, 动漫, 奇幻, 合作, 在线合作, 多人, 单人",动作类; 射击类
大猩猩接龙,¥ 34.70,93%,33,1.6h,"休闲, 卡牌游戏, 解谜, 纸牌, 2D, 手绘, 欢乐, 自然, 氛围, 回合制战术, 单人",策略类; 解谜类; 休闲类
HavenFlower: Regrets Of,¥ 0.00,,,,"破坏, 剧情, 情感, 黑暗, 动作, 冒险, 角色扮演, 潜行, 动作冒险, 射击, 互动小说, 节奏, 动作角色扮演, 复古射击, 竞技场射击, 策略, 探索, 迷宫探索, 第三人称, 电脑角色扮演",动作类; 射击类; 冒险类; 角色扮演类; 策略类
ShellPieces,¥ 18.00,,,,"角色扮演, 日系角色扮演, 砍杀, 2D, 90 年代, 单人, 独立",角色扮演类
未获取到,未获取到价格,,,,,
Skeleton Dungeon,¥ 6.00,6 篇用户评测,6,2.1h,"动作, 冒险, 动作冒险, 街机, 迷宫探索, 探索, 2D, 像素图形, 俯视, 黑暗, 80 年代, 独立, 战斗, 玩家对战环境, 单人",动作类; 冒险类
LUNATHREN,¥ 76.00,5 篇用户评测,5,,"动作, 角色扮演, 动作角色扮演, 类魂系列, 3D, 电影式, 黑暗, 黑暗奇幻, 情感, 奇幻, 独立, 抢先体验, 冒险, 战斗, 控制器, 剧情丰富, 单人",动作类; 冒险类; 角色扮演类
我们的王国 蚀时果实与远古魔物,¥ 67.00,,,,"动作, 动作冒险, 城市营造, 横向滚屏, 角色扮演, 2D, 可爱, 动漫, 像素图形, 奇幻, 砍杀, 单人, 动作角色扮演",动作类; 冒险类; 角色扮演类
Auto Jurassic Knights,¥ 0.00,,,,"自走棋, 策略, 异步多人, 玩家对战, 回合战略, 回合制战斗, 恐龙, 中世纪, 历史, 休闲, 轻度 Rogue, 类 Rogue, 2D, 一战, 黑暗奇幻, 奇幻, 管理, 赌博, 军事, 多人",策略类; 休闲类
PANOPTYCA : Idle RPG Manager,免费开玩,67%,"1,094",58.4h,"免费开玩, 挂机游戏, 策略角色扮演, 砍杀, 极简主义, 分屏, 自走棋, 模拟, 独立, 中世纪, 动作角色扮演, 玩家对战环境, 角色扮演, 2D, 俯视, 奇幻, 单人, 战斗",角色扮演类; 模拟类; 休闲类
Day Trading Simulator,¥ 6.00,2 篇用户评测,2,1.7h,"模拟, 回合战略, 沉浸式模拟, 2D, 经济, 资源管理, 单人, 独立",模拟类
GunJong,¥ 0.00,,,,"动作, 虚拟现实, 独立, 快节奏, 射击, 第一人称, 彩色, 困难, 单人, 赛博朋克, 弹幕射击, 体育, 街机, 关卡编辑, 节奏, 解谜, 3D, 反乌托邦, 未来, 可模组化",动作类; 射击类; 体育类; 解谜类
Dead On Duty,¥ 29.00,9 篇用户评测,9,1.8h,"动作, 第一人称射击, 僵尸, 生存, 战术, 玩家对战环境, 在线合作, 单人, 第一人称, 射击, 沙盒, 3D, 血腥, 暴力, 街机, 风格化, 后末日, 战斗, 控制器",动作类; 射击类
I Am A Stick,¥ 22.00,1 篇用户评测,1,1.1h,"动作, 精确平台, 模拟, 冒险, 动作冒险, 角色自定义, 2.5D, 喜剧, 独立, 单人",动作类; 冒险类; 模拟类
像素狂袭,¥ 0.00,,,,"刷宝射击游戏, 复古射击, 探索, 2D 平台, 休闲, 沙盒, 射击, 冒险, 2D 格斗, 动作冒险, 2D, 可爱, 放松, 独立, 像素图形, 彩色, 生存, 战斗, 单人",射击类; 冒险类; 休闲类
No Space For Salad,¥ 0.00,,,,"模拟, 烹饪, 探索, 冒险, 管理, 休闲, 放松, 分屏, 动作冒险, 角色自定义, 3D, 本地多人, 多人, 本地合作, 可爱, 资源管理, 未来, 太空, 俯视, 阖家",冒险类; 模拟类; 休闲类
Quiz Pinball: The Quiz You Didn't Know You Needed,免费开玩,5 篇用户评测,5,5.2h,"免费开玩, 休闲, 弹球, 放松, 益智问答, 复古, 怀旧, 3D, 基于文字, 选择取向, 单人, 街机, 独立",动作类; 解谜类; 休闲类
The White Cat’s Dark Affair,¥ 0.00,,,,"冒险, 赛博朋克, 暗杀, 惊悚, 指向点击, 互动小说, 2D, 像素图形, 体素, 反乌托邦, 未来, 政治, 复古, 剧情丰富, 快速反应事件, 独立, 库存管理, 线性, 记叙, 角色自定义",冒险类; 解谜类
Planet Ski,¥ 0.00,,,,"滑雪, 模拟, 拟真, 沙盒, 建造, 休闲, 管理, 制作, 探索, 时间管理, 3D, 放松, 氛围, 抢先体验, 单人, 经济",冒险类; 模拟类; 体育类; 休闲类
Awakeroots,¥ 29.99,100%,10,,"抢先体验, 策略, 生存, 独立, 手绘, 建造, 等角视角, 制作, 2D, 沙盒, 角色自定义, 库存管理, 农场模拟, 探索, 剑术, 奇幻, 氛围, 战斗, 团队导向, 彩色",冒险类; 模拟类; 策略类
Space Tail: Definitive Edition,¥ 0.00,,,,"冒险, 休闲, 街机, 平台游戏, 解谜, 2D 平台, 探索, 平台解谜, 2.5D, 2D, 彩色, 手绘, 风格化, 氛围, 独立, 狗, 奇幻, 逻辑, 潜行, 选择取向",动作类; 冒险类; 解谜类; 休闲类
Castaway Trails,¥ 0.00,,,,"团队角色扮演, 探索, 回合制战斗, 角色扮演, 沙盒, 自选历险体验, 制作, 模拟, 管理, 中世纪, 自然, 生存, 2D, 可爱, 选择取向, 开放世界, 回合制战术, 彩色, 像素图形, 战术",射击类; 冒险类; 角色扮演类; 模拟类
